color_name,type
BrBG,continuous
PiYG,continuous
PRGn,continuous
PuOr,continuous
RdBu,continuous
RdGy,continuous
RdYlBu,continuous
RdYlGn,continuous
Spectral,continuous
Accent,discrete
Dark2,discrete
Paired,discrete
Pastel1,discrete
Pastel2,discrete
Set1,discrete
Set2,discrete
Set3,discrete
Blues,continuous
BuGn,continuous
BuPu,continuous
GnBu,continuous
Greens,continuous
Greys,continuous
Oranges,continuous
OrRd,continuous
PuBu,continuous
PuBuGn,continuous
PuRd,continuous
Purples,continuous
RdPu,continuous
Reds,continuous
YlGn,continuous
YlGnBu,continuous
YlOrBr,continuous
YlOrRd,continuous
npg,discrete
aaas,discrete
nejm,discrete
lancet,discrete
jama,discrete
jco,discrete
ucscgb,discrete
d3-category10,discrete
d3-category20,discrete
d3-category20b,discrete
d3-category20c,discrete
igv,discrete
locuszoom,discrete
uchicago-default,discrete
uchicago-light,discrete
uchicago-dark,discrete
cosmic,discrete
simpsons,discrete
futurama,discrete
rickandmorty,discrete
startrek,discrete
tron,discrete
frontiers,discrete
flatui,discrete
gsea,continuous
material-red,continuous
material-pink,continuous
material-purple,continuous
material-deep-purple,continuous
material-indigo,continuous
material-blue,continuous
material-light-blue,continuous
material-cyan,continuous
material-teal,continuous
material-green,continuous
material-light-green,continuous
material-lime,continuous
material-yellow,continuous
material-amber,continuous
material-orange,continuous
material-deep-orange,continuous
material-brown,continuous
material-grey,continuous
material-blue-grey,continuous
dPBIYlBu,continuous
dPBIYlPu,continuous
dPBIPuGn,continuous
dPBIPuOr,continuous
dPBIRdBu,continuous
dPBIRdGy,continuous
dPBIRdGn,continuous
qMSOStd,discrete
qMSO12,discrete
qMSO15,discrete
qMSOBuWarm,discrete
qMSOBu,discrete
qMSOBu2,discrete
qMSOBuGn,discrete
qMSOGn,discrete
qMSOGnYl,discrete
qMSOYl,discrete
qMSOYlOr,discrete
qMSOOr,discrete
qMSOOrRd,discrete
qMSORdOr,discrete
qMSORd,discrete
qMSORdPu,discrete
qMSOPu,discrete
qMSOPu2,discrete
qMSOMed,discrete
qMSOPap,discrete
qMSOMrq,discrete
qMSOSlp,discrete
qMSOAsp,discrete
qPBI,discrete
sPBIGn,continuous
sPBIGy1,continuous
sPBIRd,continuous
sPBIYl,continuous
sPBIGy2,continuous
sPBIBu,continuous
sPBIOr,continuous
sPBIPu,continuous
sPBIYlGn,continuous
sPBIRdPu,continuous
ag_GrnYl,continuous
ag_Sunset,continuous
ArmyRose,continuous
Earth,continuous
Fall,continuous
Geyser,continuous
TealRose,continuous
Temps,continuous
Tropic,continuous
Antique,continuous
Bold,continuous
Pastel,continuous
Prism,continuous
Safe,continuous
Vivid,continuous
BluGrn,continuous
BluYl,continuous
BrwnYl,continuous
Burg,continuous
BurgYl,continuous
DarkMint,continuous
Emrld,continuous
Magenta,continuous
Mint,continuous
OrYel,continuous
Peach,continuous
PinkYl,continuous
Purp,continuous
PurpOr,continuous
RedOr,continuous
Sunset,continuous
SunsetDark,continuous
Teal,continuous
TealGrn,continuous
polarnight,discrete
snowstorm,discrete
frost,discrete
aurora,discrete
lumina,discrete
mountain_forms,discrete
silver_mine,discrete
lake_superior,discrete
victory_bonds,discrete
halifax_harbor,discrete
moose_pond,discrete
algoma_forest,discrete
rocky_mountain,discrete
red_mountain,discrete
baie_mouton,discrete
afternoon_prarie,discrete
magma,continuous
inferno,continuous
plasma,continuous
viridis,continuous
cividis,continuous
rocket,continuous
mako,continuous
turbo,continuous
ocean.algae,continuous
ocean.deep,continuous
ocean.dense,continuous
ocean.gray,continuous
ocean.haline,continuous
ocean.ice,continuous
ocean.matter,continuous
ocean.oxy,continuous
ocean.phase,continuous
ocean.solar,continuous
ocean.thermal,continuous
ocean.turbid,continuous
ocean.balance,continuous
ocean.curl,continuous
ocean.delta,continuous
ocean.amp,continuous
ocean.speed,continuous
ocean.tempo,continuous
BrowntoBlue.10,continuous
BrowntoBlue.12,continuous
BluetoDarkOrange.12,continuous
BluetoDarkOrange.18,continuous
DarkRedtoBlue.12,continuous
DarkRedtoBlue.18,continuous
BluetoGreen.14,continuous
BluetoGray.8,continuous
BluetoOrangeRed.14,continuous
BluetoOrange.10,continuous
BluetoOrange.12,continuous
BluetoOrange.8,continuous
LightBluetoDarkBlue.10,continuous
LightBluetoDarkBlue.7,continuous
Categorical.12,discrete
GreentoMagenta.16,continuous
SteppedSequential.5,discrete
jcolors-default,discrete
jcolors-pal2,discrete
jcolors-pal3,discrete
jcolors-pal4,discrete
jcolors-pal5,discrete
jcolors-pal6,discrete
jcolors-pal7,discrete
jcolors-pal8,discrete
jcolors-pal9,discrete
jcolors-pal10,continuous
jcolors-pal11,continuous
jcolors-pal12,continuous
jcolors-rainbow,continuous
jet,continuous
simspec,discrete
GdRd,discrete
