source	target	mor
Myc	Tert	1
Spi1	Bglap	1
Smad3	Jun	1
Smad4	Jun	1
Stat5a	Il2	1
Stat5b	Il2	1
Wt1	Nr0b1	1
Sp1	Aldoa	1
Tp53	Igf1r	-1
Runx1	Rhd	1
Tp53	Poli	1
Mtf1	Mcat	1
Creb1	Hmgcs2	1
Foxa2	Gcg	1
Nfatc2	Gcg	1
Cebpb	Pck1	1
Plag1	Plag1	1
Tp53	Rb1	-1
Yy1	Nr3c1	1
Esr1	Mapk8	1
Jun	Mapk8	1
Nr1i3	Cyp2b2	1
Nfe2l3	P11517	1
Nfe2l3	Hbb	1
Tp53	Acta1	1
Tp53	Bcl2	-1
Phox2a	Dbh	1
Irf1	Irf1	1
Atf2	Il6	1
Wt1	Odc1	1
Nr2c2	Ccnd1	1
Fos	Fos	-1
Hnf1a	Igf1	1
Stat5a	Igf1	1
Ets1	Timp1	1
Cebpb	Adra1d	1
Arnt	Cyp1b1	1
Ahr	Cyp1b1	1
Tp53	Ccnb1	-1
Pax6	L1cam	1
Carf	Crebbp	1
Stat5a	Ccnd1	1
Cebpb	Vldlr	1
Nfya	Vldlr	1
Cebpg	Vldlr	1
Hes1	Hes1	1
Atf2	Ccnd1	1
Jun	Ccnd1	1
Fos	Mapk14	1
Gata4	Inha	1
Gata4	Gata4	1
Gata4	Gata6	1
Gata6	Gata4	1
Nfatc2	Il4	1
Hnf4a	Gucy2c	1
Rxrg	Sftpb	1
Tp53	Jun	1
Jun	Tp53	-1
Tp53	Tp53	1
Dbp	Jtb	1
Pparg	Serpine2	1
Pparg	Serpine1	-1
Max	Pdlim7	-1
Usf2	Pdlim7	1
Irf1	Samhd1	1
Irf1	Ifng	1
Irf1	Nos2	1
Sp1	Faslg	1
Cux1	Cftr	1
Kat7	Cftr	1
Crebzf	Gast	1
Sp1	Gast	1
Nkx2-5	Nppa	1
Gata4	Nppa	1
Ar	Tgfb1i1	1
Tgfb1i1	Ar	1
Rarg	Mmp11	1
Ppara	Nr1d1	1
Nr3c1	Irs2	1
Pgr	Irs2	1
Nrg1	Utrn	1
Nrg1	Chrne	1
Pax6	Krt12	1
Runx1	Kras	1
Zfp161	Myc	-1
Myc	Epo	1
Sp1	Nf1	1
Tp53	Eif2ak2	1
Pitx1	Lhb	1
Egr1	Lhb	1
Egr1	Prkcg	1
Sp1	Myod1	1
Myod1	Sp1	-1
Tp53	Fos	-1
Fos	Tp53	1
Gtf2i	Fos	1
Gtf2i	Smarca4	1
Sp1	Fos	1
Yy1	Fos	-1
Egr1	Sp1	1
Sp1	Egr1	1
Nr2f1	Egr1	1
Eno1	Myc	-1
Myc	Eno1	1
Tp53	Ccnd1	-1
Fos	Rhoa	1
Jdp2	Lgals1	1
Jun	Dctn1	1
Sp1	Pnmt	1
Creb1	Pck1	1
Nr4a1	Pck1	1
Hmga1	Nos2	1
Cebpb	Ddit3	1
Ddit3	Cebpb	-1
Ddit3	Atf4	1
Atf4	Ddit3	1
Atf3	Atf4	1
Atf4	Atf3	1
Atf3	Ddit3	1
Runx2	Bglap	1
Atf2	Sele	1
Hmga1	Sele	1
Hnf1a	Lct	1
Crem	Lipe	1
Smad4	Serpine1	1
Smad3	Serpine1	1
Pax6	Gcg	1
Tp53	Ccng1	1
Tp53	Chka	1
Tp53	Gadd45a	1
Dmtf1	Cdkn2a	1
Tp53	Cdkn2a	1
Pparg	Lpl	1
Sp1	Npr1	1
Nr5a1	Cyp17a1	1
Neurod2	Itpr1	1
Runx1	Fos	1
Neurod1	Ak1	1
Cebpd	Igf1	1
Elk1	Sod1	1
Yy1	Sod1	1
Fli1	Gp9	1
Elk1	Egr1	1
Egr1	Elk1	1
Preb	Prl	1
Pou1f1	Pou1f1	1
Pou1f1	Prl	1
Pou1f1	Preb	1
Preb	Pou1f1	1
Preb	Preb	1
Stat3	Pomc	1
Tp53	Ptgs2	-1
Sp1	Clcn2	1
Cebpg	Nos2	1
Cebpb	Nos2	1
Cebpa	Alb	1
Tp53	Alox15	1
Litaf	Tnf	1
Creb1	Ccnd1	1
Jun	Il6	1
Egr1	Il1a	1
Hif1a	Epo	1
Myc	Cdc25a	1
Fos	Tgfb1	1
Spi1	Reg1	1
Pou1f1	Ghrhr	1
Arnt	Epo	1
Tp73	Tp53	1
Tp53	Tp73	1
Myc	Emp1	1
Esr1	Emp1	1
Nfatc2	Tat	1
Tcf4	Sstr2	1
Hivep2	Sstr2	1
Esr1	Cryab	1
E2f4	E2f1	-1
Runx1	Bcl2	1
Pou1f1	Trhr	1
Yy1	Acr	1
Crem	Fshb	-1
Gata4	Myh7	1
Gata4	Slc8a1	1
Srf	Slc8a1	1
Gata3	Il5	1
Ets1	Il5	1
Sp1	Tgfb1	1
Runx2	Runx2	1
Sp1	Pcyt1a	1
Ddit3	Hspa5	1
Fos	Oxtr	1
Jun	Oxtr	1
Tp53	Ngf	1
Fos	Agtr2	1
Sp1	Ldlr	1
Yy1	Ldlr	-1
Cebpa	Pck1	1
Hoxc8	Smad1	1
Hr	Igfbp1	1
Relb	Src	1
Fos	Ercc1	1
Yy1	Cxcr4	-1
Myc	Cxcr4	1
Cux1	Nos2	1
Nr5a1	Nr5a1	1
Nr5a1	Sf1	1
Tp53	Itsn1	1
Cebpe	Elane	1
Ddit3	Epo	1
Nr5a1	Lhb	1
Nr0b1	Lhb	-1
Atf2	Tnf	1
Jun	Tnf	1
Gata4	Adora1	1
Nkx2-5	Adora1	1
Gata4	Ar	1
Nkx2-5	Ar	1
Cebpb	Kras	1
Yy1	Hmgcs2	-1
Lef1	Ccnd1	1
Pax6	Sst	1
Cebpb	Star	1
Nr5a1	Star	1
Pou1f1	Fos	1
Pou1f1	Sstr5	1
Egr1	Cish	1
Nr5a1	Rhd	1
Srf	Fos	1
Fos	Tf	1
Id1	Fos	-1
Znf143	Stub1	1
Jun	Il2	1
Sox9	Mia	1
Litaf	Mrpl41	1
Litaf	Pik3r1	1
Litaf	Tp53	1
Tp53	Litaf	1
